Info | sample-name | This is a test of Whatap alert message | 2024-03-14 10:44:34 
Major | whatap-multi | Disk / Used > 1.0 % | 2024-03-14 10:46:30 
Info | sample-name | This is a test of Whatap alert message | 2024-06-29 14:17:05 
Major | whatap-multi | 아이원잡) memory used > 40% (현재: 63.8345%) | 2024-06-29 14:34:42 
Major | hadaruns-test | 아이원잡) memory used > 40% (현재: 52.8329%) | 2024-06-29 14:34:42 
Major | K8s | 아이원잡) memory used > 40% (현재: 49.3191%) | 2024-06-29 14:34:43 
Info | sample-name | This is a test of Whatap alert message | 2024-06-29 14:35:40 
Major | empty_value | node: wn3 - container의 memory 사용률이  15% 이상입니다. (현재: 19.3%) | 2024-06-29 14:43:35 
Major | empty_value | node: cp - container의 memory 사용률이  15% 이상입니다. (현재: 30.0%) | 2024-06-29 14:43:35 
Major | empty_value | node: wn1 - container의 memory 사용률이  15% 이상입니다. (현재: 16.5%) | 2024-06-29 14:43:35 
Major | empty_value | 아이원잡)cp - container의 memory 사용률이 15% 이상입니다. (현재: 29.3%) | 2024-06-29 14:45:21 
Major | empty_value | 아이원잡)wn3 - container의 memory 사용률이 15% 이상입니다. (현재: 19.2%) | 2024-06-29 14:45:21 
Major | empty_value | 아이원잡)wn1 - container의 memory 사용률이 15% 이상입니다. (현재: 16.7%) | 2024-06-29 14:45:21 
Major | empty_value | 아이원잡)wn3 - container의 memory 사용률이 15% 이상입니다. (현재: 19.2%) | 20240629144623 
Major | empty_value | 아이원잡)cp - container의 memory 사용률이 15% 이상입니다. (현재: 29.3%) | 20240629144623 
Major | empty_value | 아이원잡)wn1 - container의 memory 사용률이 15% 이상입니다. (현재: 16.5%) | 20240629144623 
Major | empty_value | 아이원잡)cp - container의 memory 사용률이 15% 이상입니다. (현재: 29.2%) | 20240629144819 
Major | empty_value | 아이원잡)wn3 - container의 memory 사용률이 15% 이상입니다. (현재: 19.3%) | 20240629144819 
Major | empty_value | 아이원잡)wn1 - container의 memory 사용률이 15% 이상입니다. (현재: 16.5%) | 20240629144819 
Major | empty_value | 아이원잡)cp - container의 memory 사용률이 15% 이상입니다. (현재: 29.4%) KMaster | 20240629144903 
Major | empty_value | 아이원잡)wn3 - container의 memory 사용률이 15% 이상입니다. (현재: 19.4%) KMaster | 20240629144903 
Major | empty_value | 아이원잡)wn1 - container의 memory 사용률이 15% 이상입니다. (현재: 16.5%) KMaster | 20240629144903 
Major | empty_value | 아이원잡)wn1 - container의 memory 사용률이 15% 이상입니다. (현재: 16.5%) | 20240629145053 
Major | empty_value | 아이원잡)cp - container의 memory 사용률이 15% 이상입니다. (현재: 29.5%) | 20240629145053 
Major | empty_value | 아이원잡)wn3 - container의 memory 사용률이 15% 이상입니다. (현재: 19.3%) | 20240629145053 
Major | empty_value | 아이원잡)wn3 - container의 memory 사용률이 15% 이상입니다. (현재: 19.3%) | 20240629151555 
Major | empty_value | 아이원잡)cp - container의 memory 사용률이 15% 이상입니다. (현재: 29.1%) | 20240629151555 
Major | empty_value | 아이원잡)wn1 - container의 memory 사용률이 15% 이상입니다. (현재: 16.8%) | 20240629151555 
Major | cp | cp - cp: memory used > 30% (current: 34.2637%) | 20240629151620 
Major | cp | cp - cp: memory used > 30% (current: 34.3078%) | 20240629151915 
